,cost
604,1912.8474955364047
605,1917.5192805125494
606,1908.1072160665099
607,1890.5634591235535
608,1920.5370544285997
609,1917.1948686543521
610,1908.9864529156143
611,1916.6671860860072
612,1912.4606233602713
613,1916.0694901603515
614,1908.5599563682176
615,1910.6512194893398
616,1905.375402676234
617,1917.5788352265758
618,1916.0607355021334
619,1924.2908468392682
620,1905.9301176455576
621,1914.8138809135212
622,1912.8317941172968
623,1924.2089512918283
624,1919.5231535751468
625,1917.8719777611573
626,1900.2877981063941
627,1912.1464339192923
628,1896.272889584323
629,1915.151585993046
630,1908.610615683706
631,1898.3400774216095
632,1909.8373070987764
633,1935.2782359904736
634,1914.7729330664013
635,1913.1189073568612
636,1903.9341604564725
637,1898.365533831971
638,1907.5103174669428
639,1899.845757149356
640,1905.365160625082
641,1916.50882046391
642,1913.092283689916
643,1921.7953117128952
644,1916.8100174559158
645,1915.301609773956
646,1913.5516948063785
647,1900.2073667882423
648,1891.2359236301386
649,1901.5156345264534
650,1920.7910608840048
651,1908.835178168511
652,1909.1791984849606
653,1910.0166569742996
654,1905.5659363250154
655,1903.4103290643843
656,1924.396426367221
657,1904.2567918763934
658,1902.9107534481502
659,1921.335497673987
660,1929.3572328042396
661,1908.716930660195
662,1915.380152688427
663,1907.9856303858157
664,1919.6239524829043
665,1918.7168232631282
666,1916.2103702864738
667,1921.0688812548667
668,1905.6995929316265
669,1905.6672386051646
670,1915.839348369335
671,1926.5669713090458
672,1906.7368441619294
673,1898.8455727762416
674,1907.1690115881224
675,1925.2433403881867
676,1918.1025873065191
677,1911.6007690219851
678,1907.295975255947
679,1897.7009277830125
680,1910.5914764998759
681,1894.8901243977236
682,1900.840454389622
683,1926.3437486012865
684,1900.667633890788
685,1918.0203749102238
686,1916.7142831275353
687,1921.1249114569428
688,1914.291962595689
689,1907.9867471899897
690,1921.4982963457833
691,1901.944653731354
692,1914.4479365629018
693,1925.563609522382
694,1902.062607996141
695,1918.547526749114
696,1905.583820261038
697,1910.7646291304563
698,1901.5476105658643
699,1917.8982434418172
700,1911.193326250813
701,1915.870261544174
702,1921.31202188147
703,1903.782286775208
704,1918.7267044153134
705,1916.6140174213429
706,1914.5846170969894
707,1900.5869506098568
708,1913.8983985086688
709,1909.2943680586761
710,1916.619230440659
711,1917.2128779820573
712,1903.1474644048483
713,1903.5553249849663
714,1926.8686370138564
715,1906.1395251580782
716,1918.879476007261
717,1927.2919121882057
718,1909.2269662920291
719,1922.871616877785
720,1913.4862150931326
721,1927.3059396763888
722,1920.6527416537028
723,1903.2613734820877
724,1916.8512547921919
725,1893.698204033826
726,1916.7038451156643
727,1897.6242738231342
728,1902.9503625659534
729,1932.354713917455
730,1924.623390721791
731,1920.094966626462
732,1914.2822112200404
733,1893.28941809985
734,1928.866378921315
735,1924.9103675158128
736,1918.6591376601784
737,1913.208721245855
738,1914.7613397817227
739,1915.6571948159133
740,1909.903846846841
741,1905.200153977793
742,1901.0403174150485
743,1905.1887883221782
744,1895.4966644046392
745,1898.8610050506736
746,1912.2937135721663
747,1924.829096176277
748,1900.5655347376542
749,1928.7585414916152
750,1911.1624448173998
751,1902.0760129253806
752,1921.5644616680681
753,1906.1146077878625
754,1910.5979935228127
755,1925.08512902752
756,1916.1325466090743
757,1923.2018310496705
758,1909.355047248437
759,1917.8837304587364
760,1912.1680250519503
761,1897.0671821599458
762,1907.0661900756677
763,1917.7313939271721
764,1921.1519741715247
765,1906.4708752444046
766,1901.0536659455606
767,1918.289395332744
768,1915.5365721182284
769,1913.2091645441735
770,1908.9686685561715
771,1913.0419355896286
772,1907.441534814108
773,1912.0755502932552
774,1911.3031295738467
775,1910.4305684070205
776,1910.2475479185168
777,1903.8899715783118
778,1907.0336702118354
779,1912.8419741268797
780,1895.7964368891937
781,1912.470492089929
782,1913.2665033361154
783,1923.4137437077898
784,1906.3986108143995
785,1920.0216225555685
786,1898.779014097258
787,1909.6351057329982
788,1885.2440775915088
789,1909.2687914559926
790,1915.4988605185918
791,1919.4942330379881
792,1909.4301276007488
793,1919.9929551268715
794,1914.77511112578
795,1904.05712758714
796,1903.7801902447973
797,1909.9370384726346
798,1898.6993843218254
799,1938.1914481911067
800,1915.4250577075813
801,1919.43299058689
802,1902.8263319870962
803,1917.5095228682928
804,1914.8420498156897
805,1915.76586552154
806,1910.0366602379581
807,1923.9584715179794
808,1898.792035872527
809,1908.3113225623579
810,1917.8843934967942
811,1904.6958779927438
812,1913.4476956935528
813,1919.4020546751624
814,1908.8988525437658
815,1911.440357888657
816,1917.4278104694333
817,1921.1484008941925
818,1911.165838611022
819,1895.0713772411586
820,1910.1541562215323
821,1918.58953495206
822,1908.0502256650295
823,1928.0794009982903
824,1914.7139067549174
825,1932.9172822193532
826,1915.2383945433512
827,1907.0409259118621
828,1910.9300508691406
829,1899.829573087241
830,1907.6749084190592
831,1902.7716720940798
832,1910.1933964166847
833,1916.8654464606425
834,1915.287559120598
835,1895.8222130682602
836,1905.6352954196043
837,1911.0858785342145
838,1933.002071144249
839,1900.598291436077
840,1915.5317347372638
841,1906.937189299992
842,1915.681394064111
843,1895.61719797568
844,1904.0714715487188
845,1913.733151151587
846,1904.5950018291728
847,1914.186707776138
848,1918.8493821453571
849,1905.9364834659148
850,1904.3367367638953
851,1900.92232865612
852,1902.3668269921488
853,1903.9184293384483
854,1914.1195068244215
855,1908.079877708601
856,1917.6701535712873
857,1902.0574504374752
858,1902.5843625847199
859,1910.6903608393188
860,1923.8797572331614
861,1918.7122138692566
862,1899.1282681417704
863,1920.9807646649897
864,1899.651089502614
865,1908.5052595891352
866,1897.5127926759433
867,1913.2661073660363
868,1919.676562766582
869,1908.807280067683
870,1902.0763564778433
871,1905.3359782809484
872,1922.9598409461457
873,1916.3100575766325
874,1915.2495441841045
875,1923.790300707928
876,1910.8749039398235
877,1911.8257254520452
878,1922.5056395063789
879,1915.5546016956669
880,1904.9876743741306
881,1902.4914779949627
882,1926.8154830129488
883,1904.0722256607494
884,1906.9236540290265
885,1899.7681969679
886,1918.8464142888129
887,1909.9965476405005
888,1898.689265908578
889,1916.4375642698058
890,1923.4338122267425
891,1910.6972500130757
892,1911.6798146973983
893,1919.448245476517
894,1900.119289167539
895,1914.7181763221686
896,1913.726276569027
897,1909.5349158902784
898,1903.338257550055
899,1912.2241428756943
900,1927.7783137634171
901,1913.8650318756631
902,1902.486404777245
903,1905.2322510441652
904,1923.6166402508645
905,1924.9567271274514
906,1910.4270844012485
907,1909.4762209730134
908,1900.7930670336075
909,1914.9941143099682
910,1913.8178305750685
911,1925.2714653709454
912,1916.0874315788021
913,1927.3988383455896
914,1903.1179277739811
915,1907.681768404348
